L.p.   n   t1[s]   t2[s]
1  2500  0.034323  0.000029
2  5000  0.079925  0.000042
3  10000  0.294989  0.000078
4  20000  1.155458  0.000154
5  30000  2.592674  0.000214
6  40000  4.646945  0.000304
7  50000  7.225738  0.000371
8  60000  10.484252  0.000478
9  70000  14.343051  0.000580
10  80000  19.134595  0.000623
